unit "Warrior"
traits (10,5,3)
moveset "Rest" "Strike" "Rig Up" "Rally"

unit "Rogue"
traits (6,6,2)
moveset "Rest" "Strike" "Steal Armor"

unit "Archer"
traits (4,8,1)
moveset "Rest" "Shoot" "Split Arrow"

unit "Mage"
traits (3,12,1)
moveset "Strike" "Confuse" "Meditate" "Corrosion"

unit "Time Mage"
traits (4,10,1)
moveset "Rewind"

unit "Cleric"
traits (4,10,4)
moveset "Meditate" "Vitalize"

unit "Wolf"
traits (4,4,0)
moveset "Strike" "Rally" "Taunt"

unit "Slime"
traits (8,1,2)
moveset "Strike" "Steal Armor"

unit "Dragon"
traits (30,10,10)
moveset "Swipe" "Taunt" "Rest" "Breathe Fire"

unit "Test"
traits (1,1,1)
moveset "Strike"
